time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
0.005000,-0.000000,-0.000012,-0.000007,-0.002413
0.010000,-0.000000,-0.000013,-0.000076,-0.001593
0.015000,-0.000001,-0.000025,-0.000266,-0.000915
0.020000,-0.000003,-0.000087,-0.000622,-0.010959
0.025000,-0.000008,-0.000152,-0.001172,-0.010806
0.030000,-0.000016,-0.000196,-0.001918,-0.010853
0.035000,-0.000028,-0.000261,-0.002838,-0.011021
0.040000,-0.000046,-0.000282,-0.003876,-0.010273
0.045000,-0.000068,-0.000343,-0.004991,-0.011676
0.050000,-0.000097,-0.000365,-0.006103,-0.009012
0.055000,-0.000130,-0.000427,-0.007147,-0.013603
0.060000,-0.000169,-0.000676,-0.008080,-0.022518
0.065000,-0.000212,-0.000809,-0.008877,-0.025938
0.070000,-0.000258,-0.000827,-0.009498,-0.023011
0.075000,-0.000307,-0.000960,-0.009923,-0.021607
0.080000,-0.000357,-0.000699,-0.010152,-0.009794
0.085000,-0.000408,-0.000758,-0.010185,-0.010610
0.090000,-0.000459,-0.000449,-0.010050,-0.001106
0.095000,-0.000508,-0.000458,-0.009815,-0.003625
0.100000,-0.000557,-0.000293,-0.009563,0.000182
0.105000,-0.000604,0.002788,-0.009364,0.102761
0.110000,-0.000650,0.003210,-0.009280,0.099470
0.115000,-0.000697,0.003798,-0.009386,0.097620
0.120000,-0.000745,0.004187,-0.009736,0.096139
0.125000,-0.000795,0.004768,-0.010376,0.097707
0.130000,-0.000850,0.005173,-0.011334,0.098210
0.135000,-0.000911,0.005764,-0.012641,0.098048
0.140000,-0.000979,0.006159,-0.014284,0.095557
0.145000,-0.001056,0.006726,-0.016246,0.091634
0.150000,-0.001144,0.007004,-0.018491,0.086743
0.155000,-0.001244,0.007514,-0.021041,0.080473
0.160000,-0.001357,0.007519,-0.023900,0.067798
0.165000,-0.001486,0.007922,-0.027033,0.063721
0.170000,-0.001631,0.008154,-0.030392,0.057082
0.175000,-0.001794,0.008484,-0.033968,0.051532
0.180000,-0.001975,0.008782,-0.037779,0.050847
